1,6
1,10
2,6
2,10
3,6
3,10
4,6
4,10
5,2
5,3
5,5
5,8
5,10
5,11
6,2
6,3
6,5
6,8
6,10
7,2
7,3
7,5
7,8
7,10
8,2
8,3
8,5
8,7
8,11
9,2
9,3
9,5
9,7
10,2
10,3
10,5
10,10
11,3
11,4
11,7
11,11
12,3
12,4
12,10
12,11
13,3
13,4
13,10
13,11
14,10
14,14
15,10
15,14
16,10
16,14
17,2
17,3
17,5
17,9
17,10
17,13
18,2
18,3
18,5
18,10
18,13
19,2
19,3
19,5
19,9
19,10
20,2
20,3
20,5
20,9
20,10
21,2
21,3
21,5
21,9
21,10
22,2
22,3
22,5
22,9
22,10
23,2
23,3
23,5
23,9
23,10
23,13
24,2
24,3
24,5
24,10
24,13
25,10
25,12
26,10
26,12
27,6
27,12
28,10
28,12
29,10
29,12
30,10
30,12
31,10
31,12
32,2
32,3
32,5
32,10
33,2
33,3
33,5
33,10
33,11
34,2
34,3
34,5
34,6
34,11
35,2
35,3
35,5
35,10
36,2
36,3
36,5
36,10
37,4
37,10
38,2
38,3
38,5
38,10
39,2
39,3
39,5
39,10
40,2
40,3
40,5
40,10
41,2
41,3
41,5
41,10
42,2
42,3
42,5
42,9
42,10
43,2
43,3
43,5
43,6
43,9
44,2
44,3
44,5
44,9
44,10
45,2
45,3
45,5
45,6
46,2
46,3
46,5
46,6
46,9
47,2
47,3
47,5
47,6
47,11
48,2
48,3
48,5
48,6
49,1
49,2
49,3
49,4
49,5
49,10
49,11
50,2
50,3
50,5
50,10
50,11
51,1
51,2
51,3
51,5
51,10
51,11
52,2
52,3
52,4
52,5
52,6
52,11
53,2
53,3
53,5
53,6
53,11
54,2
54,3
54,5
54,6
54,11
55,10
55,11
55,12
56,10
56,11
56,12
57,6
57,11
57,12
58,6
58,11
58,12
59,2
59,3
59,5
59,7
59,11
60,2
60,3
60,5
60,6
60,11
61,1
61,11
62,2
62,3
62,5
62,10
62,13
63,10
63,11
63,12
64,1
64,10
64,11
65,2
65,3
65,4
65,5
65,10
66,2
66,3
66,4
66,5
66,6
