1,1,de,Frühstück
2,1,en,Breakfast
3,2,de,Mittagessen
4,2,en,Lunch
5,3,de,Abendessen
6,3,en,Dinner
7,4,de,Snack
8,4,en,Snack
9,5,de,Hauptspeise
10,5,en,Main course
11,6,de,Beilage
12,6,en,Side dishes
13,7,de,Fleisch
14,7,en,Meat
15,8,de,Fisch
16,8,en,Fish
17,9,de,Pasta
18,9,en,Pasta
19,10,de,Vegetarisch
20,10,en,Vegetarian
21,11,de,Für Kinder
22,11,en,For kids
